tradition,entry_type,patterns,origin,region,era,style_keys,sensitivity,issues,action
Art Print,motif,106,,,,art-print,general,NOT A TRADITION — generic motif/style; recommend excluding from provenance dictionary or entry_type=motif with no cultural claim,EXCLUDE or mark motif
Botanical,motif,106,,,,botanical,general,NOT A TRADITION — generic motif/style; recommend excluding from provenance dictionary or entry_type=motif with no cultural claim,EXCLUDE or mark motif
Chevron,motif,106,"Universal — appears across West African kente, Native American weaving, European heraldry",Global,Ancient — one of humanity's oldest geometric forms,chevron,general,"NOT A TRADITION — generic motif/style; recommend excluding from provenance dictionary or entry_type=motif with no cultural claim ; FLATTENED origin (""Universal"") — violates governance; split into per-culture entries",EXCLUDE or mark motif
Damask,motif,106,,,,damask,general,NOT A TRADITION — generic motif/style; recommend excluding from provenance dictionary or entry_type=motif with no cultural claim,EXCLUDE or mark motif
Diagonal Gradient,motif,106,,,,grad-diagonal,general,NOT A TRADITION — generic motif/style; recommend excluding from provenance dictionary or entry_type=motif with no cultural claim,EXCLUDE or mark motif
Diamond Pattern,motif,106,"Universal — Kente Ghana, Andean weaving, Ikat Central Asia, Celtic weaving",Global,Ancient,diamond,general,"NOT A TRADITION — generic motif/style; recommend excluding from provenance dictionary or entry_type=motif with no cultural claim ; FLATTENED origin (""Universal"") — violates governance; split into per-culture entries",EXCLUDE or mark motif
Fluid Gradient,motif,106,,,,grad-fluid,general,NOT A TRADITION — generic motif/style; recommend excluding from provenance dictionary or entry_type=motif with no cultural claim,EXCLUDE or mark motif
Grid,motif,106,Universal — appears in every textile tradition globally,Global,Ancient — among the first patterns producible on a loom,grid,general,"NOT A TRADITION — generic motif/style; recommend excluding from provenance dictionary or entry_type=motif with no cultural claim ; FLATTENED origin (""Universal"") — violates governance; split into per-culture entries",EXCLUDE or mark motif
Linear Gradient,motif,106,,,,grad-linear,general,NOT A TRADITION — generic motif/style; recommend excluding from provenance dictionary or entry_type=motif with no cultural claim,EXCLUDE or mark motif
Monogram,motif,106,,,,monogram,general,NOT A TRADITION — generic motif/style; recommend excluding from provenance dictionary or entry_type=motif with no cultural claim,EXCLUDE or mark motif
Monogram Crest,motif,106,,,,mono-crest,general,NOT A TRADITION — generic motif/style; recommend excluding from provenance dictionary or entry_type=motif with no cultural claim,EXCLUDE or mark motif
Monogram Interlock,motif,106,,,,mono-interlock,general,NOT A TRADITION — generic motif/style; recommend excluding from provenance dictionary or entry_type=motif with no cultural claim,EXCLUDE or mark motif
Monogram Medallion,motif,106,,,,mono-medallion,general,NOT A TRADITION — generic motif/style; recommend excluding from provenance dictionary or entry_type=motif with no cultural claim,EXCLUDE or mark motif
Monogram Stamp,motif,106,,,,mono-stamp,general,NOT A TRADITION — generic motif/style; recommend excluding from provenance dictionary or entry_type=motif with no cultural claim,EXCLUDE or mark motif
Monogram Watermark,motif,106,,,,mono-watermark,general,NOT A TRADITION — generic motif/style; recommend excluding from provenance dictionary or entry_type=motif with no cultural claim,EXCLUDE or mark motif
Quatrefoil,motif,106,,,,quatrefoil,general,NOT A TRADITION — generic motif/style; recommend excluding from provenance dictionary or entry_type=motif with no cultural claim,EXCLUDE or mark motif
Radial Gradient,motif,106,,,,grad-radial,general,NOT A TRADITION — generic motif/style; recommend excluding from provenance dictionary or entry_type=motif with no cultural claim,EXCLUDE or mark motif
Stripes,motif,106,,,,stripes,general,NOT A TRADITION — generic motif/style; recommend excluding from provenance dictionary or entry_type=motif with no cultural claim,EXCLUDE or mark motif
Texture,motif,106,,,,noise,general,NOT A TRADITION — generic motif/style; recommend excluding from provenance dictionary or entry_type=motif with no cultural claim,EXCLUDE or mark motif
Vine,motif,106,,,,vine,general,NOT A TRADITION — generic motif/style; recommend excluding from provenance dictionary or entry_type=motif with no cultural claim,EXCLUDE or mark motif
Kente,textile_tradition,212,"Akan and Ewe people, Ghana and Togo",West Africa,Pre-colonial — Asante tradition documented from 17th century,kente|kente-strip,general,,"SOURCE (add citations, then review)"
Ndebele,textile_tradition,212,"Ndebele people, South Africa (and parts of Zimbabwe)",Southern Africa,The bold painted-and-beaded style is documented from the early–mid 20th century; its roots run older,ndebele|ndebele-beads,general,,"SOURCE (add citations, then review)"
Toile de Jouy,textile_tradition,212,"Jouy-en-Josas, France — originally from India","Europe, South Asia",18th century — Oberkampf factory established 1760,toile|toile-scenic,general,,"SOURCE (add citations, then review)"
Adinkra,textile_tradition,106,"Akan people, Ghana & Côte d'Ivoire",West Africa,"Pre-colonial, documented from 19th century",adinkra,general,,"SOURCE (add citations, then review)"
Adire,textile_tradition,106,"Yoruba people, Southwest Nigeria",West Africa,"Pre-colonial, widespread from early 20th century",adire,general,,"SOURCE (add citations, then review)"
Armenian,textile_tradition,106,Armenian Highlands and diaspora,Caucasus / West Asia,Ancient carpet and embroidery traditions; Marash embroidery flourished into the early 20th century,armenian,general,,"SOURCE (add citations, then review)"
Asante (Akan),textile_tradition,106,"Asante (Ashanti) kingdom, Akan people, Ghana",West Africa,Kingdom from around 1700; the underlying textile and gold traditions older,asante,general,,"SOURCE (add citations, then review)"
Azulejo,textile_tradition,106,"Portugal and Spain (the name comes from the Arabic *az-zulayj*, ""polished stone"")","Iberia / Mediterranean, via Moorish al-Andalus",Arrived through Moorish Spain (13th–15th c.); Portuguese blue-and-white flourished in the 17th–18th c.,azulejo,general,,"SOURCE (add citations, then review)"
Batik,textile_tradition,106,"Java, Indonesia",Southeast Asia,"Ancient roots, refined from 17th century Javanese courts",batik,general,,"SOURCE (add citations, then review)"
